id,firstName,lastName,email,password,role,gender
1,Patrick,Acosta,amanda.hill88@gmail.com,AdminPass123,ADMIN,FEMALE
2,Lauren,Brown,charles.ford89@gmail.com,AdminPass123,ADMIN,MALE
3,Ronnie,Daniel,kirk.kelly36@gmail.com,AdminPass123,ADMIN,MALE
4,Daniel,Franklin,ryan.winters78@gmail.com,AdminPass123,ADMIN,FEMALE
5,Michael,Martin,veronica.jones29@gmail.com,AdminPass123,ADMIN,MALE
6,Jennifer,Sanchez,michelle.hicks60@gmail.com,AdminPass123,ADMIN,MALE
7,Timothy,Carroll,joseph.garcia20@gmail.com,AdminPass123,ADMIN,FEMALE
8,Joseph,Holmes,tracy.young61@gmail.com,AdminPass123,ADMIN,MALE
9,Alyssa,Stewart,julie.elliott28@gmail.com,AdminPass123,ADMIN,MALE
10,Cole,Tyler,lauren.nolan27@gmail.com,AdminPass123,ADMIN,MALE
11,Jennifer,Fields,jessica.rodriguez14@gmail.com,TrainerPass123,TRAINER,MALE
12,Kimberly,Murphy,brenda.marks59@gmail.com,TrainerPass123,TRAINER,FEMALE
13,Phillip,Coleman,jon.johnson70@gmail.com,TrainerPass123,TRAINER,FEMALE
14,Samuel,Richardson,melanie.williams35@gmail.com,TrainerPass123,TRAINER,MALE
15,Ana,Mccann,christopher.shields95@gmail.com,TrainerPass123,TRAINER,MALE
16,Tiffany,Long,susan.wood50@gmail.com,TrainerPass123,TRAINER,MALE
17,Edward,Kelley,sean.nelson13@gmail.com,TrainerPass123,TRAINER,MALE
18,Katherine,Grant,leslie.tucker19@gmail.com,TrainerPass123,TRAINER,MALE
19,Danny,Carrillo,joseph.williams54@gmail.com,TrainerPass123,TRAINER,MALE
20,Kimberly,King,jason.allen32@gmail.com,TrainerPass123,TRAINER,FEMALE
21,Tammy,Morales,kimberly.anderson43@gmail.com,TrainerPass123,TRAINER,FEMALE
22,Marie,Figueroa,jeffrey.fox86@gmail.com,TrainerPass123,TRAINER,MALE
