id,firstName,lastName,email,password,role,gender,designation
1,Amanda,Durham,amanda.durham85@gmail.com,AdminPass123,ADMIN,FEMALE,IT Manager
2,Kirk,Zhang,kirk.zhang52@gmail.com,AdminPass123,ADMIN,MALE,HR Admin
3,Sherry,Simmons,sherry.simmons38@gmail.com,AdminPass123,ADMIN,FEMALE,IT Manager
4,Fernando,Myers,fernando.myers35@gmail.com,AdminPass123,ADMIN,FEMALE,System Admin
5,Janice,Blake,janice.blake74@gmail.com,AdminPass123,ADMIN,MALE,System Admin
6,Patricia,Fox,patricia.fox49@gmail.com,AdminPass123,ADMIN,FEMALE,HR Admin
7,Travis,White,travis.white61@gmail.com,AdminPass123,ADMIN,MALE,IT Manager
8,Kenneth,Allen,kenneth.allen31@gmail.com,AdminPass123,ADMIN,MALE,HR Admin
9,George,Vargas,george.vargas15@gmail.com,AdminPass123,ADMIN,FEMALE,IT Manager
10,Danielle,Bean,danielle.bean85@gmail.com,AdminPass123,ADMIN,FEMALE,HR Admin
11,Brenda,Conway,brenda.conway40@gmail.com,AdminPass123,ADMIN,FEMALE,System Admin
12,Michael,Holt,michael.holt55@gmail.com,AdminPass123,ADMIN,FEMALE,IT Manager
13,Lisa,Johnson,lisa.johnson72@gmail.com,AdminPass123,ADMIN,MALE,HR Admin
14,Megan,Simmons,megan.simmons95@gmail.com,AdminPass123,ADMIN,FEMALE,HR Admin
15,Ryan,Gonzales,ryan.gonzales57@gmail.com,AdminPass123,ADMIN,FEMALE,IT Manager
16,Joshua,Clark,joshua.clark77@gmail.com,AdminPass123,ADMIN,FEMALE,HR Admin
17,Kimberly,Jensen,kimberly.jensen92@gmail.com,AdminPass123,ADMIN,FEMALE,IT Manager
18,Emily,Taylor,emily.taylor99@gmail.com,AdminPass123,ADMIN,MALE,HR Admin
19,Jessica,Palmer,jessica.palmer71@gmail.com,AdminPass123,ADMIN,MALE,HR Admin
20,Daniel,Martin,daniel.martin10@gmail.com,AdminPass123,ADMIN,MALE,System Admin
21,John,Rogers,john.rogers91@gmail.com,TrainerPass123,TRAINER,FEMALE,Lead Trainer
22,Jessica,Keller,jessica.keller79@gmail.com,TrainerPass123,TRAINER,MALE,Lead Trainer
23,Kelly,Crawford,kelly.crawford24@gmail.com,TrainerPass123,TRAINER,FEMALE,Senior Trainer
24,Kathleen,Villanueva,kathleen.villanueva18@gmail.com,TrainerPass123,TRAINER,FEMALE,Lead Trainer
25,James,Hill,james.hill57@gmail.com,TrainerPass123,TRAINER,FEMALE,Training Coordinator
26,Stephen,Raymond,stephen.raymond44@gmail.com,TrainerPass123,TRAINER,FEMALE,Training Coordinator
27,Michaela,Sullivan,michaela.sullivan58@gmail.com,TrainerPass123,TRAINER,MALE,Lead Trainer
28,Patricia,Barker,patricia.barker15@gmail.com,TrainerPass123,TRAINER,FEMALE,Training Coordinator
29,Dustin,Ross,dustin.ross21@gmail.com,TrainerPass123,TRAINER,FEMALE,Lead Trainer
30,Steven,Zhang,steven.zhang62@gmail.com,TrainerPass123,TRAINER,MALE,Lead Trainer
31,Martin,Benson,martin.benson67@gmail.com,TrainerPass123,TRAINER,FEMALE,Training Coordinator
32,Tristan,Lopez,tristan.lopez57@gmail.com,TrainerPass123,TRAINER,MALE,Lead Trainer
33,Justin,Contreras,justin.contreras94@gmail.com,TrainerPass123,TRAINER,FEMALE,Senior Trainer
34,Kathy,Sheppard,kathy.sheppard91@gmail.com,TrainerPass123,TRAINER,FEMALE,Training Coordinator
35,Christine,Estrada,christine.estrada73@gmail.com,TrainerPass123,TRAINER,FEMALE,Senior Trainer
36,Lisa,Hunter,lisa.hunter83@gmail.com,TrainerPass123,TRAINER,MALE,Training Coordinator
37,Joseph,Zimmerman,joseph.zimmerman49@gmail.com,TrainerPass123,TRAINER,MALE,Senior Trainer
38,Patrick,Byrd,patrick.byrd24@gmail.com,TrainerPass123,TRAINER,FEMALE,Training Coordinator
39,Brandy,Schroeder,brandy.schroeder62@gmail.com,TrainerPass123,TRAINER,FEMALE,Training Coordinator
40,Carolyn,Hunt,carolyn.hunt36@gmail.com,TrainerPass123,TRAINER,FEMALE,Training Coordinator
41,Nicholas,Hatfield,nicholas.hatfield87@gmail.com,TrainerPass123,TRAINER,FEMALE,Training Coordinator
42,Bryan,Ford,bryan.ford89@gmail.com,TrainerPass123,TRAINER,MALE,Lead Trainer
43,Crystal,Hernandez,crystal.hernandez86@gmail.com,TrainerPass123,TRAINER,MALE,Training Coordinator
44,Jaclyn,Flores,jaclyn.flores92@gmail.com,TrainerPass123,TRAINER,MALE,Lead Trainer
45,Stacey,Johnson,stacey.johnson55@gmail.com,TrainerPass123,TRAINER,MALE,Senior Trainer
46,Zachary,Hardy,zachary.hardy66@gmail.com,TrainerPass123,TRAINER,MALE,Senior Trainer
47,Cheryl,Clark,cheryl.clark24@gmail.com,TrainerPass123,TRAINER,MALE,Senior Trainer
48,Steven,Rogers,steven.rogers61@gmail.com,TrainerPass123,TRAINER,MALE,Lead Trainer
49,Shane,Williams,shane.williams22@gmail.com,TrainerPass123,TRAINER,MALE,Lead Trainer
