userId,firstName,lastName,role,designation
1,Amanda,Durham,ADMIN,IT Manager
2,Kirk,Zhang,ADMIN,HR Admin
3,Sherry,Simmons,ADMIN,IT Manager
4,Fernando,Myers,ADMIN,System Admin
5,Janice,Blake,ADMIN,System Admin
6,Patricia,Fox,ADMIN,HR Admin
7,Travis,White,ADMIN,IT Manager
8,Kenneth,Allen,ADMIN,HR Admin
9,George,Vargas,ADMIN,IT Manager
10,Danielle,Bean,ADMIN,HR Admin
11,Brenda,Conway,ADMIN,System Admin
12,Michael,Holt,ADMIN,IT Manager
13,Lisa,Johnson,ADMIN,HR Admin
14,Megan,Simmons,ADMIN,HR Admin
15,Ryan,Gonzales,ADMIN,IT Manager
16,Joshua,Clark,ADMIN,HR Admin
17,Kimberly,Jensen,ADMIN,IT Manager
18,Emily,Taylor,ADMIN,HR Admin
19,Jessica,Palmer,ADMIN,HR Admin
20,Daniel,Martin,ADMIN,System Admin
21,John,Rogers,TRAINER,Lead Trainer
22,Jessica,Keller,TRAINER,Lead Trainer
23,Kelly,Crawford,TRAINER,Senior Trainer
24,Kathleen,Villanueva,TRAINER,Lead Trainer
25,James,Hill,TRAINER,Training Coordinator
26,Stephen,Raymond,TRAINER,Training Coordinator
27,Michaela,Sullivan,TRAINER,Lead Trainer
28,Patricia,Barker,TRAINER,Training Coordinator
29,Dustin,Ross,TRAINER,Lead Trainer
30,Steven,Zhang,TRAINER,Lead Trainer
31,Martin,Benson,TRAINER,Training Coordinator
32,Tristan,Lopez,TRAINER,Lead Trainer
33,Justin,Contreras,TRAINER,Senior Trainer
34,Kathy,Sheppard,TRAINER,Training Coordinator
35,Christine,Estrada,TRAINER,Senior Trainer
36,Lisa,Hunter,TRAINER,Training Coordinator
37,Joseph,Zimmerman,TRAINER,Senior Trainer
38,Patrick,Byrd,TRAINER,Training Coordinator
39,Brandy,Schroeder,TRAINER,Training Coordinator
40,Carolyn,Hunt,TRAINER,Training Coordinator
41,Nicholas,Hatfield,TRAINER,Training Coordinator
42,Bryan,Ford,TRAINER,Lead Trainer
43,Crystal,Hernandez,TRAINER,Training Coordinator
44,Jaclyn,Flores,TRAINER,Lead Trainer
45,Stacey,Johnson,TRAINER,Senior Trainer
46,Zachary,Hardy,TRAINER,Senior Trainer
47,Cheryl,Clark,TRAINER,Senior Trainer
48,Steven,Rogers,TRAINER,Lead Trainer
49,Shane,Williams,TRAINER,Lead Trainer
50,Laurie,Gonzalez,TRAINER,Training Coordinator
51,Dawn,Henderson,TRAINER,Senior Trainer
52,Cassandra,Hawkins,TRAINER,Training Coordinator
53,Frank,Stephens,TRAINER,Training Coordinator
54,Lisa,Miller,TRAINER,Senior Trainer
55,Kevin,Soto,TRAINER,Senior Trainer
56,Kara,Rodriguez,TRAINER,Senior Trainer
57,Ian,Wheeler,TRAINER,Senior Trainer
58,Charles,Patterson,TRAINER,Lead Trainer
59,Michelle,Chan,TRAINER,Lead Trainer
60,Jennifer,Williams,TRAINER,Training Coordinator
61,Anita,Morris,TRAINER,Senior Trainer
62,Lisa,Castaneda,TRAINER,Lead Trainer
63,Jeremiah,Freeman,TRAINER,Training Coordinator
