firstName,lastName,email,password,role,gender
Emily,Griffith,troy.winters26@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Allison,Riley,craig.crawford26@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Karen,Haynes,gabrielle.hernandez86@gmail.com,EmployeePass123,EMPLOYEE,MALE
Zachary,Davis,michael.singh72@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Anthony,Morse,william.hamilton90@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Richard,Mitchell,william.ibarra51@gmail.com,EmployeePass123,EMPLOYEE,MALE
Edwin,Higgins,michael.lopez77@gmail.com,EmployeePass123,EMPLOYEE,MALE
Karen,Ali,alexis.silva10@gmail.com,EmployeePass123,EMPLOYEE,MALE
Jason,Fields,jamie.holmes32@gmail.com,EmployeePass123,EMPLOYEE,MALE
Michael,Baker,rodney.sandoval43@gmail.com,EmployeePass123,EMPLOYEE,MALE
Annette,Sosa,carrie.mason77@gmail.com,EmployeePass123,EMPLOYEE,MALE
Carolyn,Kennedy,sabrina.ortiz85@gmail.com,EmployeePass123,EMPLOYEE,MALE
Monique,King,tyler.castro94@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Lisa,Lee,christopher.hess39@gmail.com,EmployeePass123,EMPLOYEE,MALE
Karen,Ryan,zachary.crawford83@gmail.com,EmployeePass123,EMPLOYEE,MALE
Matthew,Daniels,lauren.everett10@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Matthew,Barrett,melissa.jimenez86@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Audrey,Shepard,christine.clark71@gmail.com,EmployeePass123,EMPLOYEE,MALE
Riley,Davidson,elizabeth.landry82@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Rachel,Skinner,michael.norton36@gmail.com,EmployeePass123,EMPLOYEE,MALE
Paul,Mcdonald,jose.parsons15@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Andrew,Medina,danielle.hayes21@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Deborah,Bray,jennifer.brown76@gmail.com,EmployeePass123,EMPLOYEE,MALE
Edward,Zimmerman,emily.melendez59@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Tiffany,Campos,samuel.collins93@gmail.com,EmployeePass123,EMPLOYEE,MALE
Ruth,Cuevas,lisa.snyder12@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Christine,Patton,thomas.lopez17@gmail.com,EmployeePass123,EMPLOYEE,MALE
Alejandra,Roberts,joel.chan31@gmail.com,EmployeePass123,EMPLOYEE,MALE
Debbie,Blankenship,michael.drake15@gmail.com,EmployeePass123,EMPLOYEE,MALE
Elizabeth,Burke,madison.morgan92@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Julie,Patel,brandon.may79@gmail.com,EmployeePass123,EMPLOYEE,MALE
Adam,Stevens,gary.jensen55@gmail.com,EmployeePass123,EMPLOYEE,MALE
Calvin,Boone,haley.moon18@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Maria,Wang,timothy.newman49@gmail.com,EmployeePass123,EMPLOYEE,MALE
Jennifer,Hart,nicole.williams47@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Willie,Bass,connie.escobar11@gmail.com,EmployeePass123,EMPLOYEE,MALE
Michael,Barrett,peggy.thompson12@gmail.com,EmployeePass123,EMPLOYEE,MALE
Jacqueline,Miller,kristina.monroe10@gmail.com,EmployeePass123,EMPLOYEE,MALE
Danielle,Rollins,tony.knox84@gmail.com,EmployeePass123,EMPLOYEE,MALE
Olivia,Henry,amy.green90@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Ashley,Wiley,ryan.lang10@gmail.com,EmployeePass123,EMPLOYEE,MALE
Stefanie,Holder,whitney.eaton89@gmail.com,EmployeePass123,EMPLOYEE,MALE
Melissa,Roth,eric.riley89@gmail.com,EmployeePass123,EMPLOYEE,MALE
Crystal,Berry,william.thompson67@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Ann,Warner,donald.whitehead63@gmail.com,EmployeePass123,EMPLOYEE,MALE
John,Smith,jill.snyder54@gmail.com,EmployeePass123,EMPLOYEE,MALE
Vanessa,Smith,joy.hill15@gmail.com,EmployeePass123,EMPLOYEE,FEMALE
Bryan,Dodson,wayne.sullivan79@gmail.com,EmployeePass123,EMPLOYEE,MALE
Christina,Kim,darlene.yu35@gmail.com,EmployeePass123,EMPLOYEE,MALE
Dustin,Mcguire,nicole.davis85@gmail.com,EmployeePass123,EMPLOYEE,MALE
