firstName,lastName,email,password,role,gender
Travis,Fox,ryan.dougherty16@gmail.com,TrainerPass123,TRAINER,MALE
Eric,Franklin,jennifer.baker62@gmail.com,TrainerPass123,TRAINER,MALE
Steven,Santana,jack.park25@gmail.com,TrainerPass123,TRAINER,MALE
Drew,Fox,jennifer.schroeder55@gmail.com,TrainerPass123,TRAINER,MALE
Amber,Kelly,jessica.osborne97@gmail.com,TrainerPass123,TRAINER,FEMALE
Deborah,Walls,erik.white98@gmail.com,TrainerPass123,TRAINER,MALE
Theresa,Johnson,tiffany.morton20@gmail.com,TrainerPass123,TRAINER,MALE
Robert,Boyle,cesar.hill14@gmail.com,TrainerPass123,TRAINER,MALE
Natalie,Gray,theresa.lawrence40@gmail.com,TrainerPass123,TRAINER,MALE
Elizabeth,Chen,rhonda.johnson75@gmail.com,TrainerPass123,TRAINER,MALE
Daniel,Mccarthy,david.moreno73@gmail.com,TrainerPass123,TRAINER,MALE
Gregory,Reyes,chelsea.simmons34@gmail.com,TrainerPass123,TRAINER,FEMALE
Nathan,Thompson,sherry.levine72@gmail.com,TrainerPass123,TRAINER,FEMALE
Haley,Johnson,marie.clark33@gmail.com,TrainerPass123,TRAINER,FEMALE
Cody,Vaughan,melanie.wilson51@gmail.com,TrainerPass123,TRAINER,FEMALE
Kenneth,Brady,ashley.bentley49@gmail.com,TrainerPass123,TRAINER,FEMALE
Alex,Smith,sean.bishop62@gmail.com,TrainerPass123,TRAINER,FEMALE
Nicole,Simpson,reginald.lam99@gmail.com,TrainerPass123,TRAINER,MALE
Stacy,Thompson,kayla.dalton55@gmail.com,TrainerPass123,TRAINER,FEMALE
Kathy,Ramos,jeffrey.campbell76@gmail.com,TrainerPass123,TRAINER,MALE
